Timestamp,Source,Speed,Course,Latitude,Longitude
"2026-04-18 16:47:41",Satellite,masked,masked,masked,masked
"2026-04-18 16:20:28",Roaming,0.3,130,29.305677,-88.922173
"2026-04-18 16:16:10",Roaming,8.1,182,29.311764,-88.922684
"2026-04-18 16:13:48",Roaming,4.0,225,29.316339,-88.921776
"2026-04-18 16:11:17",Roaming,0.0,211,29.316406,-88.920998
"2026-04-18 15:49:17",Roaming,0.0,194,29.316397,-88.92099
"2026-04-18 15:26:49",Roaming,0.0,275,29.316437,-88.920982
"2026-04-18 15:06:14",Roaming,3.2,14,29.316063,-88.921043
"2026-04-18 15:02:57",Roaming,9.8,16,29.310093,-88.923042
"2026-04-18 14:59:59",Roaming,9.8,11,29.302073,-88.925323
"2026-04-18 14:57:59",Roaming,9.8,354,29.296553,-88.925728
"2026-04-18 14:55:59",Roaming,9.8,353,29.291019,-88.92511
"2026-04-18 14:53:59",Roaming,10.0,354,29.285494,-88.924477
"2026-04-18 14:51:59",Roaming,9.8,353,29.27994,-88.923874
"2026-04-18 14:49:48",Roaming,10.1,354,29.273874,-88.923157
"2026-04-18 14:47:28",Roaming,10.0,357,29.267347,-88.922775
"2026-04-18 14:45:28",Roaming,10.0,357,29.261753,-88.922493
"2026-04-18 14:43:28",Roaming,10.0,356,29.256163,-88.922226
"2026-04-18 14:41:28",Roaming,10.0,357,29.250534,-88.921944
"2026-04-18 14:39:28",Roaming,10.0,356,29.244953,-88.9217
"2026-04-18 14:36:29",Roaming,10.0,357,29.23666,-88.921333
"2026-04-18 14:34:29",Roaming,10.1,356,29.231039,-88.921089
"2026-04-18 14:32:28",Roaming,10.0,357,29.225367,-88.920891
"2026-04-18 14:30:28",Roaming,10.1,358,29.219839,-88.9207
"2026-04-18 14:28:28",Roaming,10.0,357,29.214193,-88.920486
"2026-04-18 14:26:28",Roaming,9.8,356,29.20863,-88.920265
"2026-04-18 14:24:27",Roaming,10.0,359,29.20302,-88.920082
"2026-04-18 14:22:27",Roaming,10.1,0,29.197426,-88.920212
"2026-04-18 14:20:27",Roaming,10.1,4,29.191826,-88.920578
"2026-04-18 14:18:27",Roaming,9.8,3,29.186234,-88.921021
"2026-04-18 14:16:27",Roaming,10.1,3,29.18067,-88.921455
"2026-04-18 14:14:27",Roaming,10.0,4,29.175093,-88.921883
"2026-04-18 14:11:28",Roaming,9.8,3,29.166786,-88.922401
"2026-04-18 14:09:28",Roaming,9.6,3,29.161236,-88.922737
"2026-04-18 14:07:20",Roaming,10.0,2,29.155193,-88.923134
"2026-04-18 14:05:07",Roaming,10.1,3,29.149099,-88.923546
"2026-04-18 14:02:49",Roaming,10.1,3,29.142639,-88.924011
"2026-04-18 14:00:39",Roaming,10.1,2,29.136526,-88.924416
"2026-04-18 13:58:39",Roaming,9.8,6,29.13089,-88.924797
"2026-04-18 13:56:39",Roaming,10.1,33,29.125767,-88.926857
"2026-04-18 13:54:39",Roaming,10.1,34,29.121126,-88.930763
"2026-04-18 13:52:39",Roaming,10.1,35,29.11655,-88.934631
"2026-04-18 13:50:08",Roaming,10.1,36,29.110836,-88.939468
"2026-04-18 13:48:08",Roaming,10.3,36,29.10622,-88.943321
"2026-04-18 13:46:08",Roaming,10.1,35,29.101614,-88.947151
"2026-04-18 13:43:59",Roaming,10.1,37,29.096609,-88.951363
"2026-04-18 13:03:57",Roaming,10.1,22,28.996214,-89.003113
"2026-04-18 13:01:57",Roaming,9.8,21,28.990999,-89.005409
"2026-04-18 12:58:21",Roaming,10.0,23,28.981613,-89.010117
"2026-04-18 12:55:37",Roaming,10.1,26,28.974653,-89.013771
"2026-04-18 12:53:37",Roaming,10.1,26,28.96946,-89.016495
"2026-04-18 12:51:10",Roaming,10.1,22,28.962927,-89.019859
"2026-04-18 12:48:58",Roaming,10.3,24,28.957279,-89.022652
"2026-04-18 12:46:31",Roaming,10.1,25,28.950314,-89.025993
"2026-04-18 12:42:59",Roaming,10.1,30,28.941856,-89.031281
"2026-04-18 12:40:39",Roaming,10.1,28,28.936106,-89.035019
"2026-04-18 12:38:39",Roaming,10.1,30,28.9312,-89.038185
"2026-04-18 12:36:38",Roaming,10.0,28,28.926277,-89.041382
"2026-04-18 12:34:14",Roaming,10.1,29,28.920139,-89.045403
"2026-04-18 12:31:58",Roaming,10.1,32,28.914873,-89.048866
"2026-04-18 12:28:58",Roaming,10.0,31,28.907547,-89.053749
"2026-04-18 12:26:58",Roaming,10.1,30,28.90266,-89.056976
"2026-04-18 12:24:58",Roaming,10.1,19,28.897606,-89.059753
"2026-04-18 12:22:58",Roaming,10.1,15,28.892179,-89.061539
"2026-04-18 12:20:48",Roaming,4.9,21,28.88693,-89.063469
"2026-04-18 12:03:38",Roaming,0.0,187,28.886221,-89.063568
